committeeType	serial	nomination	name	place	servingAs
governor	1	Section 11 (a)	Prof. B. V. Ramana Reddy, Director	National Institute of Technology, Kurukshetra	Chairperson (Acting)
governor	2	Section 11 (b)	Prof. B. V. Ramana Reddy, Director	National Institute of Technology, Kurukshetra	Ex-Officio Member
governor	3	Section 11 (c)	Joint Secretary (NITs)	Department of Higher Education, Ministry of Education (Shiksha Mantralaya), Government of India, Shastri Bhawan, New Delhi - 110 115	Ex-Officio Member
governor	4	Section 11 (c)	Joint Secretary & Financial Adviser	Department of Higher Education, Ministry of Education (Shiksha Mantralaya), Government of India, Shastri Bhawan, New Delhi - 110 115	Ex-Officio Member
governor	5	Section 11 (d)	Sh. Anand Mohan Sharan, IAS	Principal Secretary to Government of Haryana, Technical Education Department, Haryana Chandigarh - 160 009 (Nominee of Govt. of Haryana)	Member
governor	6	ection 11 (d)	Sh. Vijay Singh Dahiya, IAS	Director General, Technical Education & Secretary, Technical Education, Haryana Chandigarh - 160 009 (Nominee of Govt. of Haryana)	Member
governor	7	Section 11 (e)	Nominee of NIT Council	(To be nominated)	Member
governor	8	Section 11 (e)	Nominee of NIT Council	(To be nominated)	Member
governor	9	Section 11 (f)	Dr. Brahmjit Singh, Professor	National Institute of Technology, Kurukshetra	Member
governor	10	Section 11 (f)	Nominee of Senate	(To be nominated)	Member
governor	11	Section 11 (g)	Director	Indian Institute of Technology, Ropar, Ropar - 140 001 (Punjab)	Member
governor	12	Section 18 (2)	Registrar	National Institute of Technology, Kurukshetra	Ex-Officio Secretary
financial	1		Prof. B. V. Ramana Reddy, Director	National Institute of Technology, Kurukshetra	Chairperson (Acting)
financial	2		Prof. B. V. Ramana Reddy, Director	National Institute of Technology, Kurukshetra	Ex-Officio Member
financial	3		Joint Secretary (NITs)	Department of Higher Education, Ministry of Education (Shiksha Mantralaya), Government of India, Shastri Bhawan, New Delhi - 110 115	Ex-Officio Member
financial	4		Joint Secretary & Financial Adviser	Department of Higher Education, Ministry of Education (Shiksha Mantralaya), Government of India, Shastri Bhawan, New Delhi - 110 115	Ex-Officio Member
financial	5		Director	Indian Institute of Technology, Ropar, Ropar - 140 001 (Punjab)	Member
financial	6		Dr. Brahmjit Singh, Professor	Electronics & Communication Engineering Department, NIT Kurukshetra (Nominee of NIT Council)	Member
financial	7		Registrar	National Institute of Technology, Kurukshetra	Ex-Officio Member-Secretary
