sponsoredResearchProjectId	facultyName
1	Dr. Amilan Jose D., Department of Chemistry
2	Dr. Amrita Ghosh, Department of Chemistry
3	Dr. Avijit Kumar Paul, Department of Chemistry
4	Dr. Chetti Prabhakar, Department of Chemistry
5	Dr. Ghule Vikas D., Department of Chemistry
6	Dr. M. Senthil Kumar, Department of Chemistry
7	Dr. R.P. Chauhan, Department of Physics
8	Dr. C.R. Mariappan, Department of Physics
9	Dr. Yashashchandra Dwivedi, Department of Physics
10	Dr. Ashwani, Humanities and Social Sciences
11	Dr. Avijit Kumar Paul, Department of Chemistry
12	Dr. Amilan Jose D., Department of Chemistry
13	Dr. Sarika Jain, Computer Applications
14	Dr. M. Senthil Kumar (Anita Bhatia Ph.D. Scholar), Department of Chemistry
15	Dr. Anurag Gaur, Department of Physics
16	Dr. B.B. Gupta, Department of Computer Engg.
17	Dr. Avijit Kumar Paul, Department of Chemistry
18	Dr. Mahesh Pal, (PI), Department of Civil Engg.
18	Dr. Mantosh Biswas, (Co-PI), Department of Computer Engg.
19	Dr. J.K. Quamara and Dr. Anurag, Department of Physics
20	Dr. Manish Kumar Jha, MBA
21	Dr. Avadhesh Yadav, Mechanical Engg.
22	Dr. Mahesh Pal (PI), Department of Civil Engg.
23	Dr. J.P. Misra, Mechanical Engg.
24	Saurabh Chanana, Electrical Engg.
25	Dr. Vikas Mittal (PI)
25	Dr. Monika Mittal (Co-PI), Electronics and Comm. Engg. / Electrical Engg.
26	Dr. Chetti Prabhakar (Ms. Vidya VM Ph.D. Scholar), Department of Chemistry
27	Dr. Ashutosh Nandi, Electronics and Comm. Engg.
28	Dr. Prakash Chand, Department of Physics
29	Dr. Rajneesh, Mechanical Engg.
30	Dr. Virender Ranga, Computer Engg.
31	Dr. Gulshan Sachdeva, Mechanical Engg.
32	Dr. Jitender Kumar Chhabra, Computer Engg.
33	Dr. Brij Bhooshan Gupta, Computer Engg.
34	Dr. R.P. Chauhan, Department of Physics
35	Dr. Amilan Jose D., PI, Department of Chemistry
35	Dr. C.R. Mariappan, Co-PI, Department of Physics
36	Dr. Yashashchandra Dwivedi, Department of Physics
37	Dr. Anurag Gaur (PI)
37	Dr. Ashok Kumar (Co-PI)
37	Dr. Dipti Gupta (Co-PI), (IIT Bombay, Powai)
38	Dr. Chetti Prabhakar, Department of Chemistry
39	Dr. Neena Jaggi, Department of Physics
40	Dr. Amilan Jose D., Department of Chemistry
41	Dr. Punit Kumar (PI)
41	Dr. Lalit Thakur (Co-PI), Mechanical Engg.
42	Dr. S.N. Sachdeva, Civil
43	Dr. Avadhesh Yadav, Mechanical Engg.
44	Dr. M.P. Maiya (PI), IIT Madras
44	Dr. Saourav Mitra (Co-PI), IIT Kharagpur
44	Dr. Avadhesh Yadav (Co-PI), NIT KKR
45	Dr. Gargi Dixit
45	Prof. Brahmjit Singh (Mentor/Guide), Electronics and Comm. Engg.
46	Dr. Bhanu Pratap, Electrical Engg. Deptt., PI
46	Dr. Punit Kumar, Co-PI Mechanical Engg.
46	Dr. Pankaj Chandna, Co-PI Mechanical Engg.
47	Dr. C.R. Marriappan, Physics
48	Dr. Ghule Vikas D., PI
48	Dr. Ram Kumar Tittal, Co-PI, Chemistry Deptt.
49	Dr. Smita Sonker, Mathematics
50	Dr. Anurag Gaur, PI
